308.02847198481254	crescende
247.33237409146227	nexia
224.99752504952153	exhibitions
201.74246958574972	cdit
186.81755139609987	nexh
184.91369819145513	moma
174.17802709099797	ring
158.5530831510594	exhibition
155.6589156859732	axis
150.22905763889986	judg
143.04278922197597	labs
139.31788565349234	reproductions
138.75197144274355	61607
135.91067967381161	sdp
127.19172466650514	tax
125.05082256799423	expenditure
124.81893132882023	st0
123.29181353550099	asset
119.5916607969091	amerimine
119.16075736756024	mwis
