556.0618844224658	dachaus
443.1566899233314	buchenwalds
432.1117101231313	bandelier
372.5122450702771	ranelagh
291.8976881201189	aftrighted
248.9913146869209	eventsit
220.9959615432032	2714
214.87657100287188	belsens
205.89149349373486	waalsdorper
194.28701724174454	3144
171.9677863857934	94520
170.84364974523706	pompeys
165.50028257463634	theexisting
143.48903370060958	rubot
139.86197928751682	_inscription
125.66456252541532	restauant
123.73918881704124	80132
115.99254115323151	gravediggers
107.0751029806899	jennuars
107.0751029806899	26do
105.99549390160581	hoagl
89.7150920583492	admiralbestriding
81.59461237614353	auschwitzes
80.30632723551743	masaud
77.7876892169855	schoenbruenn
77.42096097630183	soounds
69.81203295037344	camar
69.20834358115724	noticeboard
69.17064746022588	obelisco
63.7089257235787	expressway_
63.335088411956725	garer
61.3748192571013	steinabch
59.769359013154286	bazzanti
57.669830925122405	madhbah
57.49825988310862	6464
56.13216639200765	skvers
54.61694898102166	danzas
54.33379165936082	v12777
53.53755149034495	succoring
53.476110076936536	shakspeare
51.34877098756175	9323
49.447137970114696	tarleton
48.29377015130629	pinaglabanan
45.5729204859363	destroryed
44.857546029174586	mynwent
44.73666139115335	mathius
41.68911564285652	goddakk
41.5732135925002	oritas
40.356448581208554	gowers
39.846239342102855	hammams
38.9754390227426	musallis
38.100198714542195	vauxhall
37.27825658926986	0852
36.82489155426078	dolgorukii
36.701628569324676	legazpi
36.22032761347972	shinbashi
36.17950099800635	sisolak
34.58586788273421	breezeblocks
33.412608273737675	oblisque
30.7846496791391	scheemakers
30.459272420303737	degenkolbe
30.39960079773894	szybinski
29.914406448631446	richlittle
28.286432442540182	slavas
28.268655347508805	0352
28.066083196003824	victimsofcommunism
27.61368129302439	ironwood
27.16524571010979	aetatis
26.86890444628912	highwayslately
26.86890444628912	afterwardswell
25.43421914068361	skwered
25.267898183012765	indigenas
24.953746166226363	batina
24.146885075653145	milwyr
23.867441282590335	3ii
22.448367853478416	shugborough
21.52817610944217	viwing
21.076756746697242	waynefondastewart
20.047202282859875	28881
19.859583346280623	silvis
19.075664355512707	unveilling
18.768208145841175	kintraw
18.739670999306746	alfortville
18.666552183387143	impermanance
18.653841226874132	fiester
17.983331207402184	slackish
17.876509819724603	shoesi
17.25680452676498	fourleggedanimalpicswithaspirinpapers
16.800428727902656	wofford
16.71007084484331	hovenweep
16.406750741000497	actuallythey
16.103037901577885	hten
16.056920105301096	campdemocracy
15.845749618921	181408
15.58577090822469	dugdale
15.378016553967273	frejus
15.125180103474603	nwhi
15.081762231329504	rysbrack
14.948171181157514	framesfrank
14.948171181157514	monolithevery
